Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
w2_d2,form_2_internal_correct,,checkbox,Παράθυρο 2,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 2 OR [num_wind] = 3 OR [num_wind] = 4 OR [num_wind] = 5 OR [num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15,,,,windows_open_d2,,
w3_d2,form_2_internal_correct,,checkbox,Παράθυρο 3,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 3 OR [num_wind] = 4 OR [num_wind] = 5 OR [num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15,,,,windows_open_d2,,
w4_d2,form_2_internal_correct,,checkbox,Παράθυρο 4,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 4 OR [num_wind] = 5 OR [num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15,,,,windows_open_d2,,
w5_d2,form_2_internal_correct,,checkbox,Παράθυρο 5,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 5 OR [num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15,,,,windows_open_d2,,
w6_d2,form_2_internal_correct,,checkbox,Παράθυρο 6,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15,,,,windows_open_d2,,
w7_d2,form_2_internal_correct,,checkbox,Παράθυρο 7,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15,,,,windows_open_d2,,
w8_d2,form_2_internal_correct,,checkbox,Παράθυρο 8,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15,,,,windows_open_d2,,
w9_d2,form_2_internal_correct,,checkbox,Παράθυρο 9,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15,,,,windows_open_d2,,
w10_d2,form_2_internal_correct,,checkbox,Παράθυρο 10,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15,,,,windows_open_d2,,
w11_d2,form_2_internal_correct,,checkbox,Παράθυρο 11,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15,,,,windows_open_d2,,
w12_d2,form_2_internal_correct,,checkbox,Παράθυρο 12,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15,,,,windows_open_d2,,
w13_d2,form_2_internal_correct,,checkbox,Παράθυρο 13,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15,,,,windows_open_d2,,
w14_d2,form_2_internal_correct,,checkbox,Παράθυρο 14,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 14 OR [num_wind] = 15,,,,windows_open_d2,,
w15_d2,form_2_internal_correct,,checkbox,Παράθυρο 15,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 15 or [num_wind]=16,,,,windows_open_d2,,
w16_d2,form_2_internal_correct,,checkbox,Παράθυρο 16,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind]=16,,,,windows_open_d2,,
d1_d2,form_2_internal_correct,Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτή/ές η/οι πόρτα/ες της αίθουσας σήμερα; (Δ=διάλειμμα),checkbox,Πόρτα 1,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:05 | 11, Kαθόλου ανοιχτή",,,,,,[num_doors] = 1 OR [num_doors] = 2,,,,doors_open_d2,,
d2_d2,form_2_internal_correct,,checkbox,Πόρτα 2,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:05 | 11, Kαθόλου ανοιχτή",,,,,,[num_doors] = 2,,,,doors_open_d2,,
