Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
w3_d2,form_2,,checkbox,Παράθυρο 3,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 3 OR [num_wind] = 4 OR [num_wind] = 5 OR [num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
w4_d2,form_2,,checkbox,Παράθυρο 4,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 4 OR [num_wind] = 5 OR [num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
w5_d2,form_2,,checkbox,Παράθυρο 5,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 5 OR [num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
w6_d2,form_2,,checkbox,Παράθυρο 6,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
w7_d2,form_2,,checkbox,Παράθυρο 7,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
w8_d2,form_2,,checkbox,Παράθυρο 8,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
w9_d2,form_2,,checkbox,Παράθυρο 9,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
w10_d2,form_2,,checkbox,Παράθυρο 10,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
w11_d2,form_2,,checkbox,Παράθυρο 11,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
w12_d2,form_2,,checkbox,Παράθυρο 12,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
w13_d2,form_2,,checkbox,Παράθυρο 13,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
w14_d2,form_2,,checkbox,Παράθυρο 14,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
w15_d2,form_2,,checkbox,Παράθυρο 15,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 15 OR [num_wind] = 16,,,,windows_open_d2,,
w16_d2,form_2,,checkbox,Παράθυρο 16,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 16,,,,windows_open_d2,,
d1_d2,form_2,Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτή/ές η/οι πόρτα/ες της αίθουσας σήμερα; (Δ=διάλειμμα),checkbox,Πόρτα 1,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:05 | 11, Kαθόλου ανοιχτή",,,,,,[num_doors] = 1 OR [num_doors] = 2,,,,doors_open_d2,,
d2_d2,form_2,,checkbox,Πόρτα 2,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25 (Δ) | 10, 12:25-13:05 | 11, Kαθόλου ανοιχτή",,,,,,[num_doors] = 2,,,,doors_open_d2,,
city_t_v2,form_1_copy,,radio,Σε ποια πόλη βρίσκεται το σχολείο στο οποίο διδάσκετε:,"1, Λεμεσός | 2, Λευκωσία | 3, Λάρνακα | 4, Πάφος | 5, Αμμόχωστος",,,,,,,y,LV,,,,
school_lim_v2,form_1_copy,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t_v2]=1,y,LV,,,,
school_nic_v2,form_1_copy,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t_v2]=1,y,LV,,,,
school_lar_v2,form_1_copy,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t_v2]=1,y,LV,,,,
school_paf_v2,form_1_copy,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t_v2]=1,y,LV,,,,
school_paf_2_v2,form_1_copy,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t_v2]=1,y,LV,,,,
class_id_v2,form_1_copy,,text,Τάξη-Τμήμα (π.χ. Γ2):,,,,,,,,,LV,,,,
num_child_v2,form_1_copy,<center>Xαρακτηριστικά της τάξης,text,Πόσα παιδιά βρίσκονται στην αίθουσα/τάξη σήμερα; ,,,integer,0,30,,,y,LV,,,,
surface_v2,form_1_copy,,text,Ποια είναι η επιφάνεια της συγκεκριμένης αίθουσας σε τετραγωνικά μέτρα (m²);,,,number,10,40,,,y,LV,,,,
vent_v2,form_1_copy,,radio,"Με ποιο τρόπο εξαερίζεται η συγκεκριμένη αίθουσα;
","1, Με φυσικό εξαερισμό (π.χ. ανοίγοντας πόρτες και παράθυρα) | 2, Με μηχανικό εξαερισμό (π.χ. αυτόματο σύστημα εξαερισμού) | 3, Και με τους 2 τρόπους",,,,,,,y,LV,,,,
air_condition_v2,form_1_copy,,radio,Ποιο/α από τα πιο κάτω διαθέτει η συγκεκριμένη αίθουσα;,"1, Ανεμιστήρα | 2, Κλιματιστικό | 3, Κανένα από τα πιο πάνω | 4, Και τα δύο",,,,,,,y,LV,,,,
air_condition_on_v2,form_1_copy,,radio,Έχει λειτουργήσει το κλιματιστικό σήμερα;,"1, Ναι | 2, Όχι",,,,,,[air_condition_v2]=2 or [air_condition_v2]=4,y,LV,,,,
time_ac_on_v2,form_1_copy,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία το κλιματιστικό</u>, σήμερα;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός τα διαλείμματα",,,,,,[air_condition_on_v2]=1,y,LV,,,,
anemistiras_on_v2,form_1_copy,,radio,Έχει λειτουργήσει ο ανεμιστήρας σήμερα;,"1, Ναι | 2, Όχι",,,,,,[air_condition_v2]=1 or [air_condition_v2]=4,y,LV,,,,
time_anemistiras_on_v2,form_1_copy,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία ο ανεμιστήρας</u>, σήμερα;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός τα διαλείμματα",,,,,,[anemistiras_on_v2]=1,y,LV,,,,
num_wind_v2,form_1_copy,,dropdown,Πόσα παράθυρα διαθέτει η συγκεκριμένη τάξη;,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,,y,LV,,,,
open_wind_v2,form_1_copy,<center>Φυσικός αερισμός τάξης,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind_v2]=1,y,LV,,,,
time_1_v2,form_1_copy,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο τα παράθυρα της τάξης σήμερα;
",checkbox,7:45 - 8:05,"1, Παράθυρο 1 | 2, Παραθυρο 2 | 3, Παράθυρο 3 | 4, Παραθυρο 4",,,,,,,,,,windows_v2,,
time_2_v2,form_1_copy,,checkbox,8:06 - 8:25,"1, Παράθυρο 1 | 2, Παραθυρο 2 | 3, Παράθυρο 3 | 4, Παραθυρο 4",,,,,,,,,,windows_v2,,
time_3_v2,form_1_copy,,checkbox,8:26 - 8:45,"1, Παράθυρο 1 | 2, Παραθυρο 2 | 3, Παράθυρο 3 | 4, Παραθυρο 4",,,,,,,,,,windows_v2,,
time_4_v2,form_1_copy,,checkbox,8:46 - 9:05,"1, Παράθυρο 1 | 2, Παραθυρο 2 | 3, Παράθυρο 3 | 4, Παραθυρο 4",,,,,,,,,,windows_v2,,
open_wind1_v2,form_1_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 1ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 1ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind_v2]=2 or [num_wind_v2]=3 or [num_wind_v2]=4 or [num_wind_v2]=5 or [num_wind_v2]=6 or [num_wind_v2]=7 or [num_wind_v2]=8,y,LV,,,,
open_wind4_v2,form_1_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 4ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 4ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind_v2]=4 or [num_wind_v2]=5 or [num_wind_v2]=6 or [num_wind_v2]=7 or [num_wind_v2]=8,y,LV,,,,
open_wind2_v2,form_1_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 2ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 2ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind_v2]=2 or [num_wind_v2]=3 or [num_wind_v2]=4 or [num_wind_v2]=5 or [num_wind_v2]=6 or [num_wind_v2]=7 or [num_wind_v2]=8,y,LV,,,,
open_wind3_v2,form_1_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 3ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 3ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind_v2]=3 or [num_wind_v2]=4 or [num_wind_v2]=5 or [num_wind_v2]=6 or [num_wind_v2]=7 or [num_wind_v2]=8,y,LV,,,,
open_wind5_v2,form_1_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 5ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 4ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind_v2]=5 or [num_wind_v2]=6 or [num_wind_v2]=7 or [num_wind_v2]=8,y,LV,,,,
open_wind6_v2,form_1_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 6ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 4ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind_v2]=6 or [num_wind_v2]=7 or [num_wind_v2]=8,y,LV,,,,
open_wind7_v2,form_1_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 7ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 4ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind_v2]=7 or [num_wind_v2]=8,y,LV,,,,
open_wind8_v2,form_1_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτό μέχρι τη μέση ή και περισσότερο το 8ο παράθυρο της τάξης κατά τη διάρκεια της σημερινής ημέρας;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτό το 4ο παράθυρο της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_wind_v2]=8,y,LV,,,,
num_doors_v2,form_1_copy,,radio,10. Πόσες πόρτες διαθέτει η συγκεκριμένη τάξη;,"1, 1 | 2, 2",,,,,,,y,LV,,,,
open_door_v2,form_1_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτή η πόρτα της τάξης σήμερα;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτή η πόρτα της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_doors_v2]=1,y,LV,,,,
open_door1_v2,form_1_copy,,checkbox,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτή η 1η πόρτα της τάξης σήμερα;
","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56- 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Δεν ήταν ανοιχτή η 1η πόρτα της τάξης | 19, Όλη μέρα (και τα διαλείμματα) | 20, Όλη μέρα εκτός τα διαλείμματα",,,,,,[num_doors_v2]=2,y,LV,,,,
